id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,2012-06-04 00:00:00,Steeple Langford,A,W,Opp,120,10,,Seymour 5-10,122,4,,,34.3,27,9,7,2,1,16,5,2,0
-1,2012-06-05 00:00:00,Cove,A,ND,Opp,50,2,,,,,,,0,7,1,0,0,1,0,0,0,0
-1,2012-06-10 00:00:00,Shades,H,L,TOCC,129,10,,"Rao 30, Hilton F 3-15, Sain 3-16",130,7,,Seymour 3-30,29.1,24,1,1,0,2,3,1,5,9
-1,2012-06-17 00:00:00,LESSA Wdrs,A,W,Opp,105,8,,Sunkara 4/3,106,4,,Rao 30,31,35,8,0,3,2,8,0,6,1
-1,2012-06-24 00:00:00,Bromley Town & OB,H,W,TOCC,234,10,,"Middleton 67, Rao 56",73,10,,Sunkara 3-3,40,24.2,10,0,6,1,30,4,0,4
-1,2012-07-01 00:00:00,RACS,A,L,Opp,140,10,,Seymour 4-46,128,10,,"Springer 44, Dashti 3-25, Donnelly 3-33",36.4,39.2,6,2,9,1,13,0,4,4
-1,2012-07-15 00:00:00,Sthn Rlways & Kenley,A,L,Opp,179,6,,Seymour 3-26,141,10,,"Middleton 66, Dijali 3-8",35.5,40,8,1,1,1,7,0,0,1
-1,2012-07-22 00:00:00,Shades,A,L,TOCC,46,10,,"Edghill R 24, Cooper H 4-3",48,6,,Sunkara 4-8,21,18,3,0,1,0,4,0,8,0
-1,2012-08-12 00:00:00,LESSA Wdrs,H,L,Opp,171,8,,"Brown 75, Leadley 3-38",138,10,,Leadley 66,38.5,39.2,17,0,0,7,7,0,8,1
-1,2012-08-19 00:00:00,Beddington,A,L,TOCC,138,9,,"Sharpe 49, Hargreaves 3-20",142,3,,McGelliott 68,31,21.4,4,0,4,2,6,1,4,2
-1,2012-08-26 00:00:00,Norwood Exiles,H,W,Opp,72,10,,Vashishtha 4-5,75,3,,,19,29.4,11,3,1,2,6,2,11,0
-1,2012-09-02 00:00:00,Sanderstead,A,D,Opp,211,9,,"Bull R 89, Springer 3-29",185,8,,"Sharpe 51, Elleray 4-39",40,45,4,0,5,2,12,0,12,0
-1,2012-09-09 00:00:00,Chadwick,H,D,TOCC,279,3,,"Sharpe 120, Springer 104*",134,7,,Edghill D 3-30,38,38,9,2,9,12,2,1,2,1
-1,2012-09-16 00:00:00,Statics,H,L,TOCC,109,10,,"Sachin 3-12, Nilesh 3-12",112,5,,Salesh 66,29.2,18,0,0,0,2,4,0,21,1
